Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
22,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5
23,23,HOU,Nikola Mirotic,,5,319,7718,3910,1894,407,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1
24,24,OKC,Reggie Jackson,Boston College,12,765,19525,9810,2252,3233,0.423,0.345,0.857,25.5,12.8,2.9,4.2,34,0.084,-0.3,8.3
25,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,-1.6,0.4
26,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1
27,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1
28,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1
29,29,SAS,Cory Joseph,Texas,12,781,17132,5493,1969,2364,0.443,0.347,0.787,21.9,7,2.5,3,30.1,0.084,-1.1,4
30,30,CHI,Jimmy Butler,Marquette,12,748,24796,13537,4011,3130,0.466,0.322,0.842,33.1,18.1,5.4,4.2,104.4,0.202,5,43.5
31,31,MIA,Bojan Bogdanovic,,9,662,19412,10316,2407,1097,0.46,0.394,0.865,29.3,15.6,3.6,1.7,36.7,0.091,-0.7,6.2
32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.7,-0.2
33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-2.5,-0.9
34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-1.9,0.1
35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-5.1,-0.1
36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0
37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-5.7,-0.1
38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2
39,39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7,-1.3
40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2
41,41,LAL,Darius Morris,Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.1,-1.2
42,42,IND,Davis Bertans,,7,427,7813,3335,1086,412,0.424,0.397,0.859,18.3,7.8,2.5,1,17.5,0.108,0.3,4.5
43,43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1
44,44,GSW,Charles Jenkins,Hofstra,2,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8
45,45,NOH,Josh Harrellson,Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.4,0.4
46,46,LAL,Andrew Goudelock,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-5,-0.3
47,47,LAC,Travis Leslie,Georgia,1,10,45,14,9,5,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0
48,48,ATL,Keith Benson,Oakland,1,3,9,0,3,0,0,,,3,0,1,0,0,-0.005,-7.7,0
49,49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6
50,50,PHI,Lavoy Allen,Temple,6,388,6905,1847,1843,384,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-2.1,-0.1
51,51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin,Florida,1,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,1.2,0.1
53,53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2.2,-0.1
54,54,CLE,Milan Macvan,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,0.455,0.388,0.742,21,7.9,2,1.8,14.8,0.057,-1.9,0.2
56,56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,,,,
57,57,DAL,Tanguy Ngombo,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok,,,,,,,,,,,,,,,,,,
59,59,SAS,�d�m Hanga,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas,Washington,11,550,15563,9715,1321,2638,0.434,0.362,0.872,28.3,17.7,2.4,4.8,45.3,0.14,2.1,16.1
